name,kCal,carbs,sugar,cookTime,img
Potato pancakes with mushroom sauce, 330, 44.2g, 5.2g,,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/Potato-pancakes-portion-v2.jpg?VersionId=RBeX7YYv9VTB8bd8h3W7cmnV2C7dx4wv&itok=m6Eniw6X
Fruity oatbake, 139, 18.5g, 6.0g,,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/Fruity-oatbake.jpg?VersionId=rheCWhGlyrbPjrPQnNHE5oc0eD2cIlAE&itok=2W3jWJR4
Courgette enchiladas, 300, 13.8g, 6.8g,,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/Courgette-enchiladas.jpg?VersionId=VHEB6hDj_S0bZj.wDnJdhceXoalkKoSq&itok=QdlXnNjT
"Pecan, nectarine and avocado chickpea salad", 523, 38.15g, 13.5g,25,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/public/styles/recipie_listing/public/2022-07/pecan%20peach.jpeg?VersionId=1OPGltvRF.d2rwXxp1RmA102QTA0egpg&itok=4f5_Mrc-
"Tomato, garlic and butterbean stew", 204, 30.4g, 17.0g,40,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/public/styles/recipie_listing/public/2022-05/Tomato%20stew.jpg?VersionId=eiogG.hq8iCSOgTkJIx4ZaXTg0bfKLzY&itok=mz7N2Ew9
Salmon and vegetable traybake with samphire, 465, 12.04g, 10.38g,35,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/public/styles/recipie_listing/public/2022-07/salmon%20traybake.jpeg?VersionId=OiE37oDI.Lw4QonpSqnuYRBThWNovjln&itok=mhqPYuRo
Hake with spinach and quinoa salad, 445, 30.86g, 7.85g,25,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/public/styles/recipie_listing/public/2022-07/hake.jpeg?VersionId=2AKfFTahZXNGjWxWjglUgszX6.f9kdJj&itok=yOmpMPk0
Persian-style chicken with mint and pomegranate, 523, 45.36g, 11.35g,35,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/public/styles/recipie_listing/public/2022-07/persian%20chicken.jpeg?VersionId=DqtEc9_3seugWYVwW5BYKAg1aFgQNj05&itok=JK1B14tC
Spiced chicken kebabs and tomato salad, 502, 37.05g, 4.36g,40,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/public/styles/recipie_listing/public/2022-07/kebabs.jpeg?VersionId=_fQVSF2yifqvjdCrxFt.aNx1oS9PU1.V&itok=Rq6NtGIE
Stuffed peppers with lentils and almond crumb, 452, 42.86g, 16.37g,40,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/public/styles/recipie_listing/public/2022-07/stuffed%20peppers.jpeg?VersionId=M4VNgrLRyJSW0.05JuHJC0uC2VfsoBG9&itok=TGghgr0u
"Mango, lime and coconut rice pudding", 184, 31.2g, 14.8g,130,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/public/styles/recipie_listing/public/2022-07/Coconut%20rice%20pudding.png?VersionId=iKRv0DcjS6dNiES7DulqElxewPI3AVop&itok=lxqX_yvZ
Panna cotta with fruit compote, 128, 13.1g, 11.4g,,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/public/styles/recipie_listing/public/2022-07/Panna%20cotta.png?VersionId=wLRErs7VTIQ6GkMacwZZSg1rjr.UBXvI&itok=B9-VeCOj
All-in-one Asian salmon and broccoli traybake, 339, 4.0g, 3.2g,30,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/public/styles/recipie_listing/public/2022-05/Salmon%20traybake.jpg?VersionId=T5DBWnMS6kXxgekQVFjmBkdPeP3wrYXW&itok=pLglqaPV
Asparagus frittata, 176, 3.2g, 2.8g,11,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/public/styles/recipie_listing/public/2022-02/Asparagus%20frittata.jpg?VersionId=n64pa5OdrzHFOL7LICJ.BlzO2r1rcQLM&itok=XK1DrJD-
"Courgette, feta and mint salad", 69, 1.7g, 1.1g,17,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/public/styles/recipie_listing/public/2022-02/Courgette%20and%20feta%20salad.jpg?VersionId=rZaZD4n3FQk5Xofom6L.ENngfmMXEe0m&itok=DC8k88Rw
Open sardine sandwich with chilli, 326, 16.4g, 1.5g,3,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/public/styles/recipie_listing/public/2022-02/Sardine%20salad.jpg?VersionId=f_abg98WeVOwxNKLgk.Jy7P08zDlsiqB&itok=Cw0QemTK
Crunchy carrot and apple salad, 89, 12.7g, 11.1g,3,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/public/styles/recipie_listing/public/2022-02/Carrot%20salad.jpg?VersionId=M4nRXuOYR8BfaXkL0RQTRFXrGu1RcdvU&itok=66cMSAwH
Veggie brunch wraps, 216, 7.2g, 6.3g,18,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/public/styles/recipie_listing/public/2022-01/Veggie%20Wraps%20edit.jpg?VersionId=HHB.f1fGzJ5rQgCmc1DizKK1R5hafi4y&itok=fayuLDWg
